Species	Status	min_age	max_age
Alloblarinella_europaea	extinct	3.2	4.9
Deinsdorfia	extinct	4.2	4.9
Deinsdorfia	extinct	4.2	4.9
Zelceina_podlesicensis	extinct	4.2	4.9
Deinsdorfia	extinct	3.2	4.2
Mafia	extinct	3.2	4.2
Sulimskia_kretzoii	extinct	3.2	4.2
Deinsdorfia	extinct	2.588	3.2
Deinsdorfia	extinct	2.588	3.2
Mafia	extinct	2.588	3.2
Deinsdorfia	extinct	2.588	3.2
Mafia	extinct	2.588	3.2
Sulimskia_kretzoii	extinct	2.588	5.333
Deinsdorfia	extinct	1.806	2.588
Paenelimnoecus	extinct	3.2	4.9
Petenyia_hungarica	extinct	1.806	2.588
Petenyia_hungarica	extinct	0.0117	2.588
Crocidura	extinct	0.0117	2.588
Sorex_minutus	extinct	0.0117	2.588
Sorex_praearaneus	extinct	0.0117	2.588
Asoriculus	extinct	0.0117	2.588
Beremendia	extinct	0.0117	2.588
Crocidura	extinct	0.781	2.588
Sorex_minutus	extinct	0.781	2.588
Sorex_praearaneus	extinct	0.781	2.588
Asoriculus	extinct	0.781	2.588
Beremendia	extinct	0.781	2.588
Mafia	extinct	4.2	4.9
Sulimskia_kretzoii	extinct	4.2	4.9
Paenelimnoecus	extinct	4.2	4.9
Paenelimnoecus	extinct	3.2	4.2
Sulimskia_kretzoii	extinct	2.588	3.2
Paenelimnoecus	extinct	2.588	3.2
Sulimskia_kretzoii	extinct	2.588	3.2
Deinsdorfia	extinct	1.806	2.588
Sulimskia_kretzoii	extinct	1.806	2.588
Sorex_bor	extinct	4.2	4.9
Sorex	extinct	4.2	4.9
Sorex	extinct	4.2	4.9
Sorex	extinct	0.0117	0.126
Soricidae	extinct	4.2	4.9
Sorex_minutus	extinct	3.2	4.9
Sorex	extinct	3.2	4.9
Sorex_minutus	extinct	3.2	4.2
Sorex_bor	extinct	3.2	4.2
Sorex_pseudoalpinus	extinct	3.2	4.2
Soricidae	extinct	3.2	4.2
Sorex_minutus	extinct	2.588	3.2
Sorex_bor	extinct	2.588	3.2
Sorex	extinct	2.588	3.2
Sorex	extinct	2.588	3.2
Sorex	extinct	2.588	3.2
Soricidae	extinct	2.588	3.2
Paenelimnoecus	extinct	2.588	3.2
Sorex_minutus	extinct	2.588	3.2
Sorex_bor	extinct	2.588	3.2
Soricidae	extinct	2.588	3.2
Sorex_praearaneus	extinct	3.2	4.2
Sorex_minutus	extinct	1.806	2.588
Sorex_bor	extinct	1.806	2.588
Sorex_praealpinus	extinct	1.806	2.588
Sorex_praearaneus	extinct	1.806	2.588
Sorex_minutus	extinct	1.806	2.588
Sorex	extinct	1.806	2.588
Sorex_praearaneus	extinct	1.806	2.588
Sorex	extinct	2.588	5.333
Sorex_bor	extinct	0.781	2.588
Sorex_praearaneus	extinct	0.781	2.588
Sorex_minutus	extinct	0.0117	2.588
Sorex_bor	extinct	0.0117	2.588
Sorex_praearaneus	extinct	0.0117	2.588
Sorex_runtonensis	extinct	0.0117	2.588
Sorex_praearaneus	extinct	0.0117	2.588
Sorex_runtonensis	extinct	3.2	4.9
Sorex	extinct	3.2	4.9
Neomys	extinct	3.2	4.9
Sorex	extinct	3.2	4.2
Sorex_minutus	extinct	3.2	4.2
Sorex_praealpinus	extinct	3.2	4.2
Sorex	extinct	3.2	4.2
