"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Ursidae"
"Access Time","Wed 2017-02-22 07:50:18 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Ursidae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0316"
"Records Found","772"
"Records Returned","772"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"189382","occ","","","18833","Ursidae indet.","family","41301","","Ursidae","family","41301","Hemphillian","","10.3","4.9","3110"
"189426","occ","","","18841","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Miocene","","23.03","5.333","1976"
"189676","occ","","","18895","Ursavus pawniensis","species","52599","","Ursavus pawniensis","species","52599","Miocene","","23.03","5.333","1976"
"189767","occ","","","18922","Ursavus pawniensis","species","52599","","Ursavus pawniensis","species","52599","Miocene","","23.03","5.333","1976"
"189811","occ","","","18933","Indarctos ? sp.","genus","41315","","Indarctos","genus","41315","Miocene","","23.03","5.333","2886"
"189821","occ","","","18935","Indarctos oregonensis","species","47360","","Indarctos oregonensis","species","47360","Hemphillian","","10.3","4.9","3118"
"189834","occ","","","18936","Indarctos oregonensis","species","47360","","Indarctos oregonensis","species","47360","Hemphillian","","10.3","4.9","3118"
"189959","occ","7260","","18962","Ursavus cf. brevirhinus","species","52598","","Ursavus brevirhinus","species","52598","Hemingfordian","","20.43","15.97","1976"
"190052","occ","","","18974","Indarctos ? sp.","genus","41315","","Indarctos","genus","41315","Hemphillian","","10.3","4.9","2348"
"190199","occ","7348","","19011","Ursidae indet.","family","41301","","Ursidae","family","41301","Barstovian","","15.97","13.6","6294"
"190238","occ","","","19015","Indarctos ? n. sp. oregonensis","species","47360","","Indarctos oregonensis","species","47360","Hemphillian","","10.3","4.9","2581"
"190239","occ","","","19015","Plionarctos sp.","genus","41322","","Plionarctos","genus","41322","Hemphillian","","10.3","4.9","1976"
"190388","occ","7430","","19038","Plithocyon ursinus","species","50613","","Plithocyon ursinus","species","44885","Miocene","","23.03","5.333","6294"
"190447","occ","7444","","19056","Ursavus cf. primaevus","species","52600","","Ursavus primaevus","species","52600","Barstovian","","15.97","13.6","1976"
"190471","occ","","","19057","Indarctos ? sp.","genus","41315","","Indarctos","genus","41315","Hemphillian","","10.3","4.9","2348"
"190731","occ","","","19088","Ursavus cf. primaevus","species","52600","","Ursavus primaevus","species","52600","Barstovian","","15.97","13.6","1976"
"190758","occ","","","19092","Ursavus sp.","genus","41329","","Ursavus","genus","41329","Barstovian","","15.97","13.6","1976"
"190834","occ","","","19101","Indarctos nevadensis","species","47359","","Indarctos nevadensis","species","47359","Hemphillian","","10.3","4.9","2348"
"190907","occ","","","19116","Ursidae indet.","family","41301","","Ursidae","family","41301","Hemphillian","","10.3","4.9","3110"
"191123","occ","7705","","19188","Ursidae indet.","family","41301","","Ursidae","family","41301","Early Hemingfordian","","20.43","15.97","3381"
"191320","occ","","","19272","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Hemphillian","","10.3","4.9","6333"
"191470","occ","","","19306","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Late Hemphillian","","10.3","4.9","1976"
"191694","occ","","","19364","Plithocyon barstowensis","species","50612","","Plithocyon barstowensis","species","46858","Barstovian","","15.97","13.6","1976"
"192003","occ","8024","","19445","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Late Hemphillian","","10.3","4.9","6294"
"192004","occ","","","19445","Plionarctos n. sp. edensis","species","50584","","Plionarctos edensis","species","50584","Late Hemphillian","","10.3","4.9","1976"
"192031","occ","","","19448","Indarctos sp.","genus","41315","","Indarctos","genus","41315","Hemphillian","","10.3","4.9","1976"
"192083","occ","8058","","19460","Ursidae indet.","family","41301","","Ursidae","family","41301","Barstovian","","15.97","13.6","6294"
"192309","occ","","","19514","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Late Hemphillian","","10.3","4.9","2005"
"192422","occ","8202","","19531","Ursidae indet.","family","41301","","Ursidae","family","41301","Miocene","","23.03","5.333","6294"
"192464","occ","8214","","19535","Plithocyon ursinus","species","50613","","Plithocyon ursinus","species","44885","Barstovian","","15.97","13.6","6294"
"192545","occ","","","19547","Plithocyon sp.","genus","41323","","Plithocyon","genus","41323","Early Barstovian","","15.97","13.6","1976"
"192649","occ","","","19557","Plithocyon sp.","genus","41323","","Plithocyon","genus","41323","Barstovian","","15.97","13.6","1976"
"192720","occ","","","19581","Plithocyon sp.","genus","41323","","Plithocyon","genus","41323","Barstovian","","15.97","13.6","1976"
"192835","occ","","","19604","cf. Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Late Hemphillian","","10.3","4.9","2893"
"192884","occ","8365","","19612","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Late Hemphillian","","10.3","4.9","6294"
"193213","occ","","","19652","Arctodus sp.","genus","41308","","Arctodus","genus","41308","Blancan","Irvingtonian","4.9","0.3","6199"
"193348","occ","","","19661","Plionarctos sp.","genus","41322","","Plionarctos","genus","41322","Blancan","","4.9","1.8","1976"
"193653","occ","","","19743","Plionarctos sp.","genus","41322","","Plionarctos","genus","41322","Blancan","","4.9","1.8","1976"
"193670","occ","","","19746","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Blancan","","4.9","1.8","1457"
"193749","occ","","","19754","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Blancan","","4.9","1.8","2615"
"193777","occ","","","19758","Arctodus cf. pristinus","species","44276","","Arctodus pristinus","species","44276","Blancan","","4.9","1.8","2621"
"193880","occ","","","19798","Ursidae indet.","family","41301","","Ursidae","family","41301","Blancan","","4.9","1.8","2878"
"193895","occ","","","19803","Tremarctinae indet.","subfamily","90656","","Tremarctinae","subfamily","90656","Blancan","","4.9","1.8","1069"
"193998","occ","","","19844","Tremarctinae indet.","subfamily","90656","","Tremarctinae","subfamily","90656","Blancan","","4.9","1.8","1069"
"194040","occ","","","19873","Ursus n. sp. abstrusus","species","52601","","Ursus abstrusus","species","52601","Blancan","","4.9","1.8","1069"
"194802","occ","8911","","19970","Arctodus sp.","genus","41308","","Arctodus","genus","41308","Blancan","","4.9","1.8","6197"
"194903","occ","","","20009","Ursus abstrusus","species","52601","","Ursus abstrusus","species","52601","Blancan","","4.9","1.8","2062"
"195068","occ","","","20033","Ursus sp.","genus","41331","","Ursus","genus","41331","Blancan","","4.9","1.8","2044"
"195269","occ","9000","","20062","Plionarctos cf. harroldorum","species","50585","","Plionarctos harroldorum","species","50585","Blancan","","4.9","1.8","4150"
"195296","occ","","","20063","Plionarctos n. sp. harroldorum","species","50585","","Plionarctos harroldorum","species","50585","Blancan","","4.9","1.8","4150"
"195384","occ","","","20077","Ursidae indet.","family","41301","","Ursidae","family","41301","Blancan","","4.9","1.8","2594"
"195554","occ","","","20113","Tremarctos floridanus","species","52411","","Tremarctos floridanus","species","44274","Blancan","","4.9","1.8","1186"
